,product,description,tags
92,Nighttime Repair,"This retinol-equipped moisturizer is front-loaded with antioxidants to provide essential hydration all night long and maintain younger-looking skin.
Helps smooth the look of fine lines & wrinkles
Non-greasy, lotion formula
Use as the last step in your PM routine","Men%27s, Moisturizers, PC4Men"
94,Intensive Repair Cream,"A concentrated anti-aging moisturizing cream infused with skin-restoring ingredients to significantly improve skin’s texture, smoothness, and hydration, renewing a beautifully youthful and healthy glow.
Promotes a firmer-looking, younger complexion
Retinol is an anti-aging superstar ingredient
Rich ultra-creamy formula
Use as the last step in your PM skincare routine
Low-strength 0.01% retinol concentration","Moisturizers, Anti-Aging, Dehydrated Skin, Dull Skin, Firming, Wrinkles, Resist Anti-Aging, Dry%2FVery Dry Skin"
95,Essential Glow Moisturizer SPF 30,"This illuminating moisturizer shields skin with all-mineral sun protection plus antioxidants to help protect against the effects of environmental damage.
Creates an instant, healthy glow for makeup-optional skin
12 antioxidants visibly diminish the signs of environment-based aging
Lightweight, illuminating cream
Apply as the last step of your morning routine","Moisturizers, Sun Protection, Anti-Pollution Skin Care, Dull Skin, Sun Protection, Defense, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
96,Ceramide-Enriched Firming Moisturizer,"Visibly smooth wrinkles, renew a firmer feel and enhance moisture balance with a concentrated blend of ceramides plus a potent blend of vitamin c and retinol that plumps skin and fortifies skin’s protective barrier.
Strengthens the building blocks of healthy skin
Replenishing lipids deliver a supple look & feel
Creamy-smooth lotion intensely hydrates
Use daily to keep skin firm & resilient
Mid-strength 0.1% retinol concentration","Moisturizers, Retinol, Vitamin C, Anti-Aging, Dehydrated Skin, Firming, Wrinkles, Clinical, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
97,Nightly Reconditioning Moisturizer,"Eight superfoods plus antioxidants strengthen your skin’s environmental defenses while hydrating, softening and clarifying overnight.
Protect skin against environmental aggressors
Flaxseed, wild cherry and other superfoods that nourish skin
Sheer, super-light texture
Use as the last step in your PM skincare routine","Moisturizers, Anti-Pollution Skin Care, Dull Skin, Defense, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
98,Oil-Free Moisturizer,"Provides soothing hydration that won’t clog pores or cause breakouts. Weightless, oil-free moisturizer is specially formulated for blemish-prone skin.
Lightly hydrates breakout-prone skin without adding oil or shine
Pore-minimizing niacinamide soothes flaky skin
Sheer, ceramide-infused lotion calms redness
Use as the last step in your PM skincare routine","Moisturizers, Dehydrated Skin, Redness, Clear for Acne, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
99,Anti-Aging Clear Skin Hydrator,"A one-of-a-kind anti-aging moisturizer that provides immediate hydration while nourishing skin, creating a more even-looking skin tone and a brighter complexion, all while defending skin against environmental stresses.
Visibly improves pores size
Vitamin C and niacinamide brighten and smooth skin
Unique gel-lotion formula
Use as the last step in your PM skincare routine","Moisturizers, Vitamin C, Anti-Aging, Dull Skin, Wrinkles, Resist Anti-Aging, Combination Skin, Normal Skin, Oily Skin"
100,MOISTURE BOOST Hydrating Treatment Cream,"Replenishes and restores lost moisture, leaving you with smooth, comfortable, younger-looking skin.
Emollients and plant oils restore supple, smooth skin
Antioxidants help skin look and feel younger
Luxurious cream
Use as the last step in your PM skincare routine","Moisturizers, Moisture Boost, Dry%2FVery Dry Skin, Normal Skin"
101,Daily Moisturizing Lotion SPF 30,"A mineral-based moisturizer with SPF that protects, softens and reconditions skin by helping maintain skin’s optimal hydration levels and decreasing the risk of early skin aging.
Contains a unique complex of anti-aging peptides
Skin-recovering ingredients transform dry skin
Rich cream formula
Use as the last step in your AM skincare routine","Moisturizers, Sun Protection, Anti-Aging, Redness, Sun Protection, Wrinkles, Skin Recovery, Dry%2FVery Dry Skin, Extra Sensitive Skin"
102,Redness Relief Moisturizer for Normal to Dry Skin,"An age-defying moisturizer formulated for soothing skin relief and drenching hydration. Gentle nourishment for visible plumping, radiance, and diminished appearance of wrinkles.
Nourishing plant oils and antioxidants soothe skin
Enriches skin to ease redness & sensitivity
Silky, soothing cream leaves a radiant finish
Use as the last step in your PM skincare routine","Moisturizers, Redness, Calm Redness Relief, Dry%2FVery Dry Skin, Extra Sensitive Skin"
103,Ultra-Rich Moisturizer,"This luxuriant cream moisturizer relieves dryness with soothing antioxidants and nourishing plant oils to keep skin thoroughly hydrated, soft, and comforted.
Plumps the look of dehydrated skin
Smooths the appearance of wrinkles
Leaves skin feeling remarkably soft and supple
Rich, velvety cream texture
Use as the last step in your PM skincare routine","Moisturizers, Dehydrated Skin, Redness, Clinical, Extra Sensitive Skin"
104,Invisible Finish Moisture Gel,"A moisturizer that provides essential hydration, helps minimize the appearance of pores, and provides antioxidants to help defend against environmental assault.
Refreshes and hydrates skin
Lightweight gel formula
Use as the last step in your PM skincare routine","Moisturizers, Oil Control, Skin Balancing, Combination Skin, Oily Skin"
105,Redness Relief SPF 30 Mineral Moisturizer for Normal to Dry Skin,"A mineral-based sunscreen that replenishes dry, sensitive skin with smoothing hydration while protecting it against damaging UVA/UVB rays.
Diminishes the appearance of redness
Helps keep skin looking younger, longer
Creamy lotion texture
Use as the last step in your AM skincare routine","Moisturizers, Sun Protection, Redness, Sun Protection, Calm Redness Relief, Extra Sensitive Skin"
106,Redness Relief Moisturizer for Normal to Oily Skin,"This moisturizer is designed to provide refreshing hydration to lessen signs of aging while calming the appearance of redness and sensitivity.
Antioxidants calm the appearance of reddened skin
Helps retain moisture & smooth skin’s surface
Lightweight lotion formula
Use as the last step in your PM skincare routine","Moisturizers, Redness, Calm Redness Relief, Extra Sensitive Skin"
107,Antioxidant Enriched Natural Moisturizer,"This innovative formula is an enriched, surprisingly light lotion that hydrates your skin while treating it to a potent anti-aging combination of antioxidants and skin-replenishing ingredients.
98% all-natural formula
Renews and rejuvenates skin
Skin-softening lotion evens skin tone
Use as the last step in your PM skincare routine","Moisturizers, Anti-Pollution Skin Care, Earth Sourced Natural, All Skin Types, Extra Sensitive Skin"
109,Replenishing Moisturizer,"Contains a proprietary blend of proven moisturizing ingredients for instant and lasting hydration for dry skin. Helps minimize the appearance of wrinkles and visibly improves skin’s texture.
Helps preserve skin’s moisture content
Antioxidants and plant oils restore radiance
Luxurious creamy texture
Use as the last step in your PM skincare routine","Moisturizers, Skin Recovery, Extra Sensitive Skin"
111,Omega+ Complex Moisturizer,"Naturally restore dehydrated skin's glow with this cloud-like cream's blend of superfood omega fatty acids, replenishing ceramides and antioxidants.
Omegas 3, 6 & 9 strengthen moisture barrier
Passion fruit & guava extracts soothe stressed skin
Lightweight, whipped texture locks in hydration","Moisturizers, Dehydrated Skin, Dull Skin, Redness, Omega%2B Complex, Extra Sensitive Skin"
113,Weightless Advanced Repairing Toner,"An age-defying facial toner that rehydrates and lightly moisturizes skin while also defending against environmental damage.
Replenishes and refines aging skin
Niacinamide and peptide complex renews skin
Lightweight but potent liquid formula
Use twice daily after cleansing skin","Oil Control, Toners, Anti-Aging, Dehydrated Skin, Dull Skin, Enlarged Pores, Wrinkles, Resist Anti-Aging, Combination Skin, Normal Skin, Oily Skin"
137,Redness Relief Toner for Normal to Dry Skin,"This toner calms the appearance of redness and soothes sensitive skin while skin-replenishing ingredients nourish and hydrate.
Helps reinforce a healthy barrier
Works immediately to soothe skin
Milky, ultra-gentle fluid texture
Use twice daily after cleansing skin","Toners, Redness, Calm Redness Relief, Dry%2FVery Dry Skin, Extra Sensitive Skin, Normal Skin"
138,Purely Natural Refreshing Toner,"This antioxidant-rich toner with 98% natural ingredients replenishes and restores skin for a healthy glow.
Antioxidants shield & renew the surface of skin
Liquid-gel formula soothes skin
Use twice daily after cleansing skin","Toners, Anti-Pollution Skin Care, Earth Sourced Natural, Extra Sensitive Skin"
236,Water-Infusing Electrolyte Moisturizer,"This refreshing electrolyte-charged formula replenishes thirsty skin’s water content for lasting, weightless hydration and an instant plump, dewy look.
Restores vital hydration & nutrients
Electrolytes calcium, magnesium & potassium energize skin
Airy, lightweight texture
Use as the last step in your PM skincare routine
Even suitable for breakout-prone skin","Dehydrated Skin, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Extra Sensitive Skin, Normal Skin, Oily Skin"
